candidate_id,rank,score,reasoning
CAND_0042506,1,0.935160,"With 4.2 years of experience, this Search Engineer shows a strong background in Search Infrastructure (specifically Semantic Search, Information Retrieval), with room to grow in Vector DB Expertise."
CAND_0026532,2,0.912565,"With 4.8 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically pgvector, Semantic Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0064326,3,0.901198,"With 7.6 years of experience, this Search Engineer shows a strong background in Production Scale (specifically Milvus, Semantic Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0041669,4,0.893804,"With 8 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically FAISS, Milvus), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0007009,5,0.878705,"With 7.9 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Weaviate, Learning to Rank), with room to grow in Vector DB Expertise."
CAND_0028793,6,0.860476,"With 7.2 years of experience, this Search Engineer shows a strong background in Production Scale (specifically Learning to Rank, Information Retrieval), with room to grow in Vector DB Expertise. Notice period: 120 days."
CAND_0039383,7,0.854820,"With 7.1 years of experience, this Applied ML Engineer shows a strong background in Production Scale (specifically FAISS, Vector Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0060054,8,0.849213,"With 6.4 years of experience, this AI Engineer shows a strong background in Production Scale (specifically Weaviate, FAISS), but lacks explicit evidence of Vector DB Expertise."
CAND_0017960,9,0.833460,"With 7.7 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically Qdrant, Information Retrieval), with room to grow in Core Search/LTR. Notice period: 60 days."
CAND_0041610,10,0.825239,"With 6.7 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Elasticsearch, OpenSearch), but lacks explicit evidence of Vector DB Expertise."
CAND_0052328,11,0.821779,"With 6.5 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically OpenSearch, Learning to Rank), but lacks explicit evidence of Vector DB Expertise."
CAND_0051292,12,0.764576,"With 5.2 years of experience, this Applied ML Engineer shows a strong background in Search Infrastructure (specifically pgvector, FAISS), with room to grow in Production Scale."
CAND_0079387,13,0.745350,"With 6.9 years of experience, this AI Engineer shows a strong background in Production Scale (specifically Vector Search, OpenSearch), with room to grow in Search Infrastructure."
CAND_0075439,14,0.703721,"With 4.3 years of experience, this Machine Learning Engineer shows a strong background in Production Scale (specifically Learning to Rank, Elasticsearch), but lacks explicit evidence of Vector DB Expertise."
CAND_0014440,15,0.692245,"With 6.4 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Elasticsearch, Milvus), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0066999,16,0.690997,"With 5.9 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically OpenSearch, FAISS), but lacks explicit evidence of Vector DB Expertise."
CAND_0043228,17,0.682937,"With 6.8 years of experience, this Applied ML Engineer shows a strong background in Search Infrastructure (specifically Vector Search, Weaviate), but lacks explicit evidence of Vector DB Expertise."
CAND_0013613,18,0.677872,"With 4.7 years of experience, this Machine Learning Engineer shows a strong background in Production Scale (specifically Weaviate), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0070398,19,0.660171,"With 7.2 years of experience, this Machine Learning Engineer shows a strong background in Production Scale (specifically BM25, FAISS), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0005260,20,0.654163,"With 5.2 years of experience, this Senior NLP Engineer shows a strong background in Production Scale (specifically Information Retrieval, Semantic Search), with room to grow in Vector DB Expertise. Notice period: 60 days."
CAND_0088025,21,0.647167,"With 8.6 years of experience, this Staff Machine Learning Engineer shows a strong background in Production Scale (specifically Pinecone, BM25), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0057701,22,0.630910,"With 4.1 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically OpenSearch, Qdrant), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0094759,23,0.563006,"With 8.6 years of experience, this Lead AI Engineer shows a strong background in Production Scale (specifically Learning to Rank, Semantic Search), but lacks explicit evidence of Vector DB Expertise."
CAND_0093912,24,0.561169,"With 5.3 years of experience, this Senior Data Scientist has a moderate background in Core Search/LTR (specifically Milvus, Vector Search), but lacks explicit evidence of Vector DB Expertise."
CAND_0098780,25,0.549608,"With 5.9 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically Semantic Search, Milvus), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0054394,26,0.545411,"With 4.1 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Pinecone), but lacks explicit evidence of Vector DB Expertise."
CAND_0080766,27,0.545105,"With 8.8 years of experience, this Staff Machine Learning Engineer shows a strong background in Production Scale (specifically Search Infrastructure, Information Retrieval Systems), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0010541,28,0.530865,"With 6.2 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically Pinecone, Weaviate), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0078042,29,0.528528,"With 4.7 years of experience, this Applied ML Engineer shows a strong background in Production Scale (specifically OpenSearch, Semantic Search), but lacks explicit evidence of Vector DB Expertise."
