candidate_id,rank,score,reasoning
CAND_0008425,1,0.991000,"Partial match with Learning to Rank and Recommendation Systems, but lacks strong production or seniority signals."
CAND_0066376,2,0.991000,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0068811,3,0.991000,"Partial match with OpenSearch and core retrieval tools, but lacks strong production or seniority signals."
CAND_0075249,4,0.991000,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0076251,5,0.991000,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0077337,6,0.991000,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0081846,7,0.991000,Exposure to ranking-oriented retrieval systems using Learning to Rank and Recommendation Systems; provides partial signal for JD relevance. Supported by strong production deployment history. Alignment with favorable joining timeline.
CAND_0007009,8,0.990864,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0014440,9,0.990667,"Partial match with Elasticsearch and core retrieval tools, but lacks strong production or seniority signals."
CAND_0018549,10,0.990190,"Partial match with Elasticsearch and OpenSearch, but lacks strong production or seniority signals."
CAND_0081686,11,0.990000,"Partial match with FAISS and Milvus, but lacks strong production or seniority signals."
CAND_0043228,12,0.989795,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0041669,13,0.988993,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0046064,14,0.987893,"Partial match with BM25 and OpenSearch, but lacks strong production or seniority signals."
CAND_0010685,15,0.987000,"Partial match with Information Retrieval and Elasticsearch, but lacks strong production or seniority signals."
CAND_0027691,16,0.985000,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0030953,17,0.985000,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0036437,18,0.985000,"Partial match with OpenSearch and Elasticsearch, but lacks strong production or seniority signals."
CAND_0009024,19,0.983000,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0026532,20,0.983000,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0041568,21,0.983000,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0053695,22,0.983000,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0010770,23,0.981000,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0018499,24,0.981000,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0039383,25,0.981000,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0039754,26,0.981000,"Partial match with OpenSearch and BM25, but lacks strong production or seniority signals."
CAND_0041610,27,0.981000,"Partial match with Learning to Rank and Recommendation Systems, but lacks strong production or seniority signals."
CAND_0042506,28,0.981000,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0052328,29,0.981000,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0055905,30,0.981000,"Partial match with Elasticsearch and OpenSearch, but lacks strong production or seniority signals."
CAND_0060054,31,0.981000,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0064326,32,0.981000,"Partial match with BM25 and core retrieval tools, but lacks strong production or seniority signals."
CAND_0065195,33,0.981000,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0079387,34,0.975967,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0083307,35,0.974711,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
